id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,I want to surprise my wife for our anniversary with a special meal. She likes mushrooms.
5,Suggest something quick
6,What is the best Pad Thai recipe?
7,What can I add to ramen to make it taste better?
8,Chocolate banana smoothie
9,I can only cook once this week and then have to eat leftovers. What should I make?
10,I want something that tastes like McDonalds
11,What is your favorite recipe?
12,What is the most popular recipe in America this month?
13,Give me a beginner friendly recipe for ginger snap cookies